RecordNo,Index,TopofMind,Unaided,Aided,TotalAwarness,Wykształcenie,Funkcja
2886,10,NA,NA,NA,NA,Wyższe,Główny agronom
1136,11,NA,NA,NA,Jabłka,Średnie techniczne,Właściciel
1143,11,NA,NA,NA,Śliwki,Średnie ogólne,Główny agronom
1145,11,NA,NA,NA,Jabłka,Wyższe,Właściciel
1151,11,NA,NA,NA,Jabłka,Średnie ogólne,Dyrektor / wicedyrektor
1154,11,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1167,11,NA,NA,NA,Jabłka,Średnie techniczne,Główny agronom
1191,11,NA,NA,NA,Jabłka,Wyższe,Dyrektor / wicedyrektor
1203,11,NA,NA,NA,Śliwki,Średnie techniczne,Agronom – ekspert
1218,11,NA,NA,NA,Jabłka,Średnie ogólne,Główny agronom
1221,11,NA,NA,NA,Jabłka,Średnie techniczne,Agronom – ekspert
1233,11,NA,NA,NA,Truskawki,Średnie techniczne,Właściciel
1234,11,NA,NA,NA,Truskawki,Wyższe,Główny agronom
1236,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1256,11,NA,NA,NA,Śliwki,Średnie ogólne,Dyrektor / wicedyrektor
1261,11,NA,NA,NA,Jabłka,Średnie techniczne,Właściciel
1271,11,NA,NA,NA,Śliwki,Średnie ogólne,???
1272,11,NA,NA,NA,Truskawki,Wyższe,Agronom – ekspert
1286,11,NA,NA,NA,Śliwki,Średnie ogólne,Główny agronom
1292,11,NA,NA,NA,Jabłka,Średnie techniczne,Właściciel
1293,11,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1294,11,NA,NA,NA,Jabłka,Średnie ogólne,Główny agronom
1295,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1319,11,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1322,11,NA,NA,NA,Jabłka,Średnie techniczne,Właściciel
1327,11,NA,NA,NA,Truskawki,Średnie ogólne,Główny agronom
1356,11,NA,NA,NA,Truskawki,Średnie ogólne,Dyrektor / wicedyrektor
1358,11,NA,NA,NA,Truskawki,Średnie techniczne,Dyrektor / wicedyrektor
1364,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1375,11,NA,NA,NA,Jabłka,Średnie ogólne,Dyrektor / wicedyrektor
1377,11,NA,NA,NA,Jabłka,Średnie ogólne,Dyrektor / wicedyrektor
1382,11,NA,NA,NA,Jabłka,Średnie ogólne,???
1393,11,NA,NA,NA,Jabłka,Wyższe rolnicze,Właściciel
1403,11,NA,NA,NA,Śliwki,Średnie ogólne,Właściciel
1404,11,NA,NA,NA,Śliwki,Średnie ogólne,Właściciel
1412,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1413,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1430,11,NA,NA,NA,Truskawki,Średnie ogólne,???
1450,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1469,11,NA,NA,NA,Śliwki,Średnie ogólne,Właściciel
1475,11,NA,NA,NA,Truskawki,Średnie techniczne,Agronom – ekspert
1476,11,NA,NA,NA,Truskawki,Średnie ogólne,Główny agronom
1477,11,NA,NA,NA,Jabłka,Średnie ogólne,Główny agronom
1490,11,NA,NA,NA,Truskawki,Średnie techniczne,???
1501,11,NA,NA,NA,Truskawki,Średnie ogólne,???
1503,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1508,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1529,11,NA,NA,NA,Jabłka,Średnie ogólne,Główny agronom
1531,11,NA,NA,NA,Aronia,Średnie ogólne,Właściciel
1540,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1548,11,NA,NA,NA,Jabłka,Średnie ogólne,???
1567,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1575,11,NA,NA,NA,Truskawki,Średnie ogólne,Dyrektor / wicedyrektor
1578,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1581,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1588,11,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1591,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1599,11,NA,NA,NA,Jabłka,Średnie ogólne,???
1605,11,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1634,11,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1638,11,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1653,11,NA,NA,NA,Śliwki,Średnie techniczne,Właściciel
1666,11,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1672,11,NA,NA,NA,NA,Średnie ogólne,Właściciel
1694,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1705,11,NA,NA,NA,Śliwki,Średnie ogólne,Dyrektor / wicedyrektor
1710,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1712,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
1719,11,NA,NA,NA,Truskawki,Średnie ogólne,???
1739,11,NA,NA,NA,Jabłka,Średnie ogólne,Główny agronom
1740,11,NA,NA,NA,Jagody,Średnie ogólne,Główny agronom
1752,11,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1777,11,NA,NA,NA,Jabłka,Średnie ogólne,Główny agronom
1792,11,NA,NA,NA,Truskawki,Wyższe,???
1851,11,NA,NA,NA,Jabłka,Średnie ogólne,???
1860,11,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,11,NA,NA,NA,Jabłka,Średnie ogólne,???
1866,11,NA,NA,NA,NA,Średnie ogólne,???
1870,11,NA,NA,NA,Jabłka,Średnie ogólne,???
1909,11,NA,NA,NA,Jabłka,Średnie ogólne,???
1959,11,NA,NA,NA,Jagody,Średnie ogólne,???
1971,11,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1974,11,NA,NA,NA,Śliwki,Średnie techniczne,???
1978,11,NA,NA,NA,Maliny,Wyższe rolnicze,Właściciel
1984,11,NA,NA,NA,Jabłka,Wyższe,Agronom – ekspert
1994,11,NA,NA,NA,Jagody,Wyższe rolnicze,???
2000,11,NA,NA,NA,Maliny,Wyższe,Dyrektor / wicedyrektor
2004,11,NA,NA,NA,Wiśnie,Wyższe,Dyrektor / wicedyrektor
2019,11,NA,NA,NA,Jagody,Wyższe,Główny agronom
2024,11,NA,NA,NA,Truskawki,Wyższe,Dyrektor / wicedyrektor
2026,11,NA,NA,NA,Truskawki,Średnie techniczne,Główny agronom
2036,11,NA,NA,NA,Aronia,Wyższe,Właściciel
2051,11,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2057,11,NA,NA,NA,Śliwki,Średnie ogólne,Dyrektor / wicedyrektor
2061,11,NA,NA,NA,Jagody,Wyższe,???
2064,11,NA,NA,NA,Jagody,Średnie techniczne,???
2069,11,NA,NA,NA,Jabłka,Wyższe rolnicze,Główny agronom
2070,11,NA,NA,NA,Porzeczki,Wyższe,???
2082,11,NA,NA,NA,Truskawki,Wyższe,Główny agronom
2083,11,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2088,11,NA,NA,NA,Truskawki,Wyższe,???
2101,11,NA,NA,NA,Porzeczki,Średnie techniczne,Dyrektor / wicedyrektor
2124,11,NA,NA,NA,Wiśnie,Wyższe,Właściciel
2128,11,NA,NA,NA,Porzeczki,Wyższe,Dyrektor / wicedyrektor
2138,11,NA,NA,NA,Borówki,Wyższe,???
2150,11,NA,NA,NA,NA,Wyższe,???
2159,11,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,11,NA,NA,NA,Porzeczki,Średnie techniczne,Agronom – ekspert
2164,11,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2167,11,NA,NA,NA,Jabłka,Średnie ogólne,Dyrektor / wicedyrektor
2180,11,NA,NA,NA,Wiśnie,Średnie ogólne,Właściciel
2196,11,NA,NA,NA,Maliny,Średnie techniczne,???
2198,11,NA,NA,NA,Aronia,Wyższe,Właściciel
2209,11,NA,NA,NA,Jabłka,Wyższe rolnicze,Agronom – ekspert
2210,11,NA,NA,NA,Truskawki,Wyższe,???
2218,11,NA,NA,NA,Jabłka,Wyższe,???
2223,11,NA,NA,NA,Borówki,Wyższe rolnicze,Właściciel
2231,11,NA,NA,NA,Aronia,Średnie ogólne,Agronom – ekspert
2262,11,NA,NA,NA,Jagody,Średnie ogólne,???
2269,11,NA,NA,NA,Aronia,Średnie ogólne,???
2270,11,NA,NA,NA,Jagody,Wyższe,Właściciel
2283,11,NA,NA,NA,Porzeczki,Wyższe,Dyrektor / wicedyrektor
2291,11,NA,NA,NA,Jagody,Wyższe,Główny agronom
2300,11,NA,NA,NA,Aronia,Średnie techniczne,Agronom – ekspert
2309,11,NA,NA,NA,Gruszki,Wyższe,Agronom – ekspert
2311,11,NA,NA,NA,Maliny,Średnie techniczne,Główny agronom
2316,11,NA,NA,NA,Porzeczki,Średnie ogólne,Właściciel
2326,11,NA,NA,NA,Borówki,Wyższe rolnicze,Agronom – ekspert
2329,11,NA,NA,NA,Jabłka,Średnie ogólne,???
2341,11,NA,NA,NA,Maliny,Średnie techniczne,Właściciel
2343,11,NA,NA,NA,Gruszki,Wyższe,Agronom – ekspert
2355,11,NA,NA,NA,Maliny,Wyższe rolnicze,???
2420,11,NA,NA,NA,Jagody,Średnie techniczne,Agronom – ekspert
2422,11,NA,NA,NA,Jagody,Średnie ogólne,Główny agronom
2432,11,NA,NA,NA,Wiśnie,Wyższe rolnicze,Inne
2437,11,NA,NA,NA,Maliny,Wyższe,Agronom – ekspert
2438,11,NA,NA,NA,Borówki,Wyższe rolnicze,Główny agronom
2442,11,NA,NA,NA,Borówki,Wyższe rolnicze,???
2446,11,NA,NA,NA,Śliwki,Średnie ogólne,Właściciel
2452,11,NA,NA,NA,Śliwki,Wyższe,Dyrektor / wicedyrektor
2457,11,NA,NA,NA,Aronia,Średnie techniczne,Dyrektor / wicedyrektor
2479,11,NA,NA,NA,Porzeczki,Wyższe rolnicze,Główny agronom
2484,11,NA,NA,NA,Gruszki,Średnie techniczne,Agronom – ekspert
2489,11,NA,NA,NA,Truskawki,Wyższe rolnicze,Agronom – ekspert
2500,11,NA,NA,NA,Maliny,Wyższe rolnicze,Agronom – ekspert
2504,11,NA,NA,NA,Truskawki,Wyższe rolnicze,Dyrektor / wicedyrektor
2509,11,NA,NA,NA,Jagody,Średnie techniczne,Właściciel
2520,11,NA,NA,NA,Truskawki,Średnie techniczne,Właściciel
2527,11,NA,NA,NA,Maliny,Średnie ogólne,Właściciel
2537,11,NA,NA,NA,Aronia,Średnie ogólne,Właściciel
2538,11,NA,NA,NA,Borówki,Średnie techniczne,???
2545,11,NA,NA,NA,Truskawki,Wyższe,Główny agronom
2549,11,NA,NA,NA,Jabłka,Średnie ogólne,Dyrektor / wicedyrektor
2563,11,NA,NA,NA,Wiśnie,Wyższe rolnicze,Agronom – ekspert
2568,11,NA,NA,NA,Porzeczki,Średnie techniczne,???
2571,11,NA,NA,NA,Truskawki,Wyższe,Agronom – ekspert
2574,11,NA,NA,NA,Porzeczki,Średnie techniczne,Dyrektor / wicedyrektor
2603,11,NA,NA,NA,Aronia,Średnie ogólne,Główny agronom
2613,11,NA,NA,NA,Truskawki,Wyższe,Dyrektor / wicedyrektor
2628,11,NA,NA,NA,Jagody,Wyższe,Agronom – ekspert
2631,11,NA,NA,NA,Borówki,Wyższe rolnicze,Agronom – ekspert
2634,11,NA,NA,NA,Aronia,Wyższe,???
2638,11,NA,NA,NA,Aronia,Wyższe,Agronom – ekspert
2643,11,NA,NA,NA,Maliny,Średnie ogólne,Dyrektor / wicedyrektor
2647,11,NA,NA,NA,Porzeczki,Średnie techniczne,Dyrektor / wicedyrektor
2660,11,NA,NA,NA,Aronia,Wyższe,Agronom – ekspert
2670,11,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2674,11,NA,NA,NA,Truskawki,Wyższe rolnicze,Agronom – ekspert
2685,11,NA,NA,NA,Borówki,Średnie ogólne,Właściciel
2688,11,NA,NA,NA,Śliwki,Średnie ogólne,???
2703,11,NA,NA,NA,Gruszki,Wyższe,???
2707,11,NA,NA,NA,Jabłka,Średnie ogólne,Agronom – ekspert
2712,11,NA,NA,NA,Jabłka,Średnie techniczne,Właściciel
2716,11,NA,NA,NA,Maliny,Średnie techniczne,Dyrektor / wicedyrektor
2719,11,NA,NA,NA,Truskawki,Średnie ogólne,Dyrektor / wicedyrektor
2727,11,NA,NA,NA,Gruszki,Średnie techniczne,Agronom – ekspert
2744,11,NA,NA,NA,Wiśnie,Wyższe,Dyrektor / wicedyrektor
2750,11,NA,NA,NA,Jabłka,Wyższe,Główny agronom
2769,11,NA,NA,NA,Porzeczki,Wyższe rolnicze,Właściciel
2773,11,NA,NA,NA,Aronia,Średnie ogólne,Agronom – ekspert
2780,11,NA,NA,NA,Śliwki,Wyższe,Dyrektor / wicedyrektor
2790,11,NA,NA,NA,Maliny,Średnie ogólne,???
2795,11,NA,NA,NA,Porzeczki,Wyższe rolnicze,Właściciel
2798,11,NA,NA,NA,Truskawki,Średnie techniczne,Właściciel
2801,11,NA,NA,NA,Maliny,Średnie techniczne,Główny agronom
2804,11,NA,NA,NA,Gruszki,Wyższe rolnicze,Agronom – ekspert
2809,11,NA,NA,NA,Truskawki,Wyższe,???
2815,11,NA,NA,NA,Borówki,Średnie techniczne,Właściciel
2822,11,NA,NA,NA,Porzeczki,Średnie techniczne,Właściciel
2824,11,NA,NA,NA,Jagody,Średnie techniczne,Właściciel
2832,11,NA,NA,NA,Truskawki,Średnie ogólne,???
2835,11,NA,NA,NA,Jabłka,Średnie techniczne,???
2837,11,NA,NA,NA,Truskawki,Średnie techniczne,Dyrektor / wicedyrektor
2853,11,NA,NA,NA,Aronia,Średnie ogólne,Dyrektor / wicedyrektor
2862,11,NA,NA,NA,Aronia,Średnie ogólne,Dyrektor / wicedyrektor
2868,11,NA,NA,NA,Aronia,Średnie ogólne,Dyrektor / wicedyrektor
2871,11,NA,NA,NA,Truskawki,Wyższe,Główny agronom
2879,11,NA,NA,NA,Truskawki,Wyższe,Właściciel
2880,11,NA,NA,NA,Truskawki,Wyższe rolnicze,Dyrektor / wicedyrektor
2882,11,NA,NA,NA,Aronia,Średnie techniczne,???
2886,11,NA,NA,NA,Borówki,Wyższe,Główny agronom
1136,12,NA,NA,NA,Śliwki,Średnie techniczne,Właściciel
1143,12,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
1145,12,NA,NA,NA,Truskawki,Wyższe,Właściciel
1151,12,NA,NA,NA,Truskawki,Średnie ogólne,Dyrektor / wicedyrektor
1154,12,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
1167,12,NA,NA,NA,Truskawki,Średnie techniczne,Główny agronom
1191,12,NA,NA,NA,Truskawki,Wyższe,Dyrektor / wicedyrektor
1203,12,NA,NA,NA,Borówki,Średnie techniczne,Agronom – ekspert
1218,12,NA,NA,NA,Truskawki,Średnie ogólne,Główny agronom
1221,12,NA,NA,NA,Truskawki,Średnie techniczne,Agronom – ekspert
1233,12,NA,NA,NA,Śliwki,Średnie techniczne,Właściciel
1234,12,NA,NA,NA,Śliwki,Wyższe,Główny agronom
1236,12,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1256,12,NA,NA,NA,Gruszki,Średnie ogólne,Dyrektor / wicedyrektor
1261,12,NA,NA,NA,Wiśnie,Średnie techniczne,Właściciel
1271,12,NA,NA,NA,Gruszki,Średnie ogólne,???
1272,12,NA,NA,NA,Śliwki,Wyższe,Agronom – ekspert
1286,12,NA,NA,NA,Gruszki,Średnie ogólne,Główny agronom
1292,12,NA,NA,NA,Truskawki,Średnie techniczne,Właściciel
1293,12,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
1294,12,NA,NA,NA,Truskawki,Średnie ogólne,Główny agronom
1295,12,NA,NA,NA,Wiśnie,Średnie ogólne,Właściciel
1319,12,NA,NA,NA,Gruszki,Średnie ogólne,Agronom – ekspert
1322,12,NA,NA,NA,Truskawki,Średnie techniczne,Właściciel
1327,12,NA,NA,NA,Śliwki,Średnie ogólne,Główny agronom
1356,12,NA,NA,NA,Śliwki,Średnie ogólne,Dyrektor / wicedyrektor
1358,12,NA,NA,NA,Śliwki,Średnie techniczne,Dyrektor / wicedyrektor
1364,12,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1375,12,NA,NA,NA,Śliwki,Średnie ogólne,Dyrektor / wicedyrektor
1377,12,NA,NA,NA,Truskawki,Średnie ogólne,Dyrektor / wicedyrektor
1382,12,NA,NA,NA,Truskawki,Średnie ogólne,???
1393,12,NA,NA,NA,Porzeczki,Wyższe rolnicze,Właściciel
1403,12,NA,NA,NA,Wiśnie,Średnie ogólne,Właściciel
1404,12,NA,NA,NA,Gruszki,Średnie ogólne,Właściciel
1412,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1413,12,NA,NA,NA,Wiśnie,Średnie ogólne,Agronom – ekspert
1430,12,NA,NA,NA,Śliwki,Średnie ogólne,???
1450,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1469,12,NA,NA,NA,Wiśnie,Średnie ogólne,Właściciel
1475,12,NA,NA,NA,Gruszki,Średnie techniczne,Agronom – ekspert
1476,12,NA,NA,NA,Wiśnie,Średnie ogólne,Główny agronom
1477,12,NA,NA,NA,Truskawki,Średnie ogólne,Główny agronom
1490,12,NA,NA,NA,Gruszki,Średnie techniczne,???
1501,12,NA,NA,NA,Śliwki,Średnie ogólne,???
1503,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1508,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1529,12,NA,NA,NA,Wiśnie,Średnie ogólne,Główny agronom
1531,12,NA,NA,NA,Jagody,Średnie ogólne,Właściciel
1540,12,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1548,12,NA,NA,NA,Truskawki,Średnie ogólne,???
1567,12,NA,NA,NA,Porzeczki,Średnie ogólne,Właściciel
1575,12,NA,NA,NA,Śliwki,Średnie ogólne,Dyrektor / wicedyrektor
1578,12,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1581,12,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1588,12,NA,NA,NA,Gruszki,Średnie ogólne,Agronom – ekspert
1591,12,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1599,12,NA,NA,NA,Truskawki,Średnie ogólne,???
1605,12,NA,NA,NA,Śliwki,Średnie ogólne,Agronom – ekspert
1634,12,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1638,12,NA,NA,NA,Truskawki,Średnie ogólne,Właściciel
1653,12,NA,NA,NA,Gruszki,Średnie techniczne,Właściciel
1666,12,NA,NA,NA,Śliwki,Średnie ogólne,Agronom – ekspert
1672,12,NA,NA,NA,NA,Średnie ogólne,Właściciel
1694,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1705,12,NA,NA,NA,Gruszki,Średnie ogólne,Dyrektor / wicedyrektor
1710,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1712,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
1719,12,NA,NA,NA,Śliwki,Średnie ogólne,???
1739,12,NA,NA,NA,Śliwki,Średnie ogólne,Główny agronom
1740,12,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1752,12,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
1777,12,NA,NA,NA,Śliwki,Średnie ogólne,Główny agronom
1792,12,NA,NA,NA,Śliwki,Wyższe,???
1851,12,NA,NA,NA,Truskawki,Średnie ogólne,???
1860,12,NA,NA,NA,NA,Średnie ogólne,Główny agronom
1863,12,NA,NA,NA,Wiśnie,Średnie ogólne,???
1866,12,NA,NA,NA,NA,Średnie ogólne,???
1870,12,NA,NA,NA,Truskawki,Średnie ogólne,???
1909,12,NA,NA,NA,Śliwki,Średnie ogólne,???
1959,12,NA,NA,NA,NA,Średnie ogólne,???
1971,12,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
1974,12,NA,NA,NA,Truskawki,Średnie techniczne,???
1978,12,NA,NA,NA,Borówki,Wyższe rolnicze,Właściciel
1984,12,NA,NA,NA,Jagody,Wyższe,Agronom – ekspert
1994,12,NA,NA,NA,Truskawki,Wyższe rolnicze,???
2000,12,NA,NA,NA,Śliwki,Wyższe,Dyrektor / wicedyrektor
2004,12,NA,NA,NA,Jabłka,Wyższe,Dyrektor / wicedyrektor
2019,12,NA,NA,NA,Aronia,Wyższe,Główny agronom
2024,12,NA,NA,NA,NA,Wyższe,Dyrektor / wicedyrektor
2026,12,NA,NA,NA,Aronia,Średnie techniczne,Główny agronom
2036,12,NA,NA,NA,Borówki,Wyższe,Właściciel
2051,12,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2057,12,NA,NA,NA,Wiśnie,Średnie ogólne,Dyrektor / wicedyrektor
2061,12,NA,NA,NA,NA,Wyższe,???
2064,12,NA,NA,NA,Borówki,Średnie techniczne,???
2069,12,NA,NA,NA,Wiśnie,Wyższe rolnicze,Główny agronom
2070,12,NA,NA,NA,Jagody,Wyższe,???
2082,12,NA,NA,NA,NA,Wyższe,Główny agronom
2083,12,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2088,12,NA,NA,NA,Porzeczki,Wyższe,???
2101,12,NA,NA,NA,Śliwki,Średnie techniczne,Dyrektor / wicedyrektor
2124,12,NA,NA,NA,Jagody,Wyższe,Właściciel
2128,12,NA,NA,NA,Śliwki,Wyższe,Dyrektor / wicedyrektor
2138,12,NA,NA,NA,Aronia,Wyższe,???
2150,12,NA,NA,NA,NA,Wyższe,???
2159,12,NA,NA,NA,NA,Wyższe rolnicze,Dyrektor / wicedyrektor
2163,12,NA,NA,NA,Maliny,Średnie techniczne,Agronom – ekspert
2164,12,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2167,12,NA,NA,NA,Truskawki,Średnie ogólne,Dyrektor / wicedyrektor
2180,12,NA,NA,NA,Porzeczki,Średnie ogólne,Właściciel
2196,12,NA,NA,NA,Porzeczki,Średnie techniczne,???
2198,12,NA,NA,NA,Truskawki,Wyższe,Właściciel
2209,12,NA,NA,NA,Truskawki,Wyższe rolnicze,Agronom – ekspert
2210,12,NA,NA,NA,Gruszki,Wyższe,???
2218,12,NA,NA,NA,Porzeczki,Wyższe,???
2223,12,NA,NA,NA,Porzeczki,Wyższe rolnicze,Właściciel
2231,12,NA,NA,NA,NA,Średnie ogólne,Agronom – ekspert
2262,12,NA,NA,NA,Wiśnie,Średnie ogólne,???
2269,12,NA,NA,NA,Jagody,Średnie ogólne,???
2270,12,NA,NA,NA,Gruszki,Wyższe,Właściciel
2283,12,NA,NA,NA,Śliwki,Wyższe,Dyrektor / wicedyrektor
2291,12,NA,NA,NA,Maliny,Wyższe,Główny agronom
2300,12,NA,NA,NA,Porzeczki,Średnie techniczne,Agronom – ekspert
2309,12,NA,NA,NA,Truskawki,Wyższe,Agronom – ekspert
2311,12,NA,NA,NA,Śliwki,Średnie techniczne,Główny agronom
2316,12,NA,NA,NA,Jabłka,Średnie ogólne,Właściciel
2326,12,NA,NA,NA,Jabłka,Wyższe rolnicze,Agronom – ekspert
2329,12,NA,NA,NA,Gruszki,Średnie ogólne,???
2341,12,NA,NA,NA,Śliwki,Średnie techniczne,Właściciel
2343,12,NA,NA,NA,Borówki,Wyższe,Agronom – ekspert
2355,12,NA,NA,NA,NA,Wyższe rolnicze,???
2420,12,NA,NA,NA,Aronia,Średnie techniczne,Agronom – ekspert
2422,12,NA,NA,NA,Porzeczki,Średnie ogólne,Główny agronom
2432,12,NA,NA,NA,Maliny,Wyższe rolnicze,Inne
2437,12,NA,NA,NA,Jabłka,Wyższe,Agronom – ekspert
2438,12,NA,NA,NA,Truskawki,Wyższe rolnicze,Główny agronom
2442,12,NA,NA,NA,Wiśnie,Wyższe rolnicze,???
2446,12,NA,NA,NA,Gruszki,Średnie ogólne,Właściciel
2452,12,NA,NA,NA,Gruszki,Wyższe,Dyrektor / wicedyrektor
2457,12,NA,NA,NA,NA,Średnie techniczne,Dyrektor / wicedyrektor
2479,12,NA,NA,NA,Maliny,Wyższe rolnicze,Główny agronom
2484,12,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2489,12,NA,NA,NA,Borówki,Wyższe rolnicze,Agronom – ekspert
2500,12,NA,NA,NA,Borówki,Wyższe rolnicze,Agronom – ekspert
2504,12,NA,NA,NA,Wiśnie,Wyższe rolnicze,Dyrektor / wicedyrektor
2509,12,NA,NA,NA,Borówki,Średnie techniczne,Właściciel
2520,12,NA,NA,NA,Maliny,Średnie techniczne,Właściciel
2527,12,NA,NA,NA,Wiśnie,Średnie ogólne,Właściciel
2537,12,NA,NA,NA,Jagody,Średnie ogólne,Właściciel
2538,12,NA,NA,NA,NA,Średnie techniczne,???
2545,12,NA,NA,NA,Gruszki,Wyższe,Główny agronom
2549,12,NA,NA,NA,Porzeczki,Średnie ogólne,Dyrektor / wicedyrektor
2563,12,NA,NA,NA,Borówki,Wyższe rolnicze,Agronom – ekspert
2568,12,NA,NA,NA,NA,Średnie techniczne,???
2571,12,NA,NA,NA,Borówki,Wyższe,Agronom – ekspert
2574,12,NA,NA,NA,Borówki,Średnie techniczne,Dyrektor / wicedyrektor
2603,12,NA,NA,NA,Truskawki,Średnie ogólne,Główny agronom
2613,12,NA,NA,NA,Jagody,Wyższe,Dyrektor / wicedyrektor
2628,12,NA,NA,NA,Śliwki,Wyższe,Agronom – ekspert
2631,12,NA,NA,NA,Gruszki,Wyższe rolnicze,Agronom – ekspert
2634,12,NA,NA,NA,Truskawki,Wyższe,???
2638,12,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2643,12,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2647,12,NA,NA,NA,Wiśnie,Średnie techniczne,Dyrektor / wicedyrektor
2660,12,NA,NA,NA,NA,Wyższe,Agronom – ekspert
2670,12,NA,NA,NA,NA,Średnie ogólne,Główny agronom
2674,12,NA,NA,NA,Gruszki,Wyższe rolnicze,Agronom – ekspert
2685,12,NA,NA,NA,Śliwki,Średnie ogólne,Właściciel
2688,12,NA,NA,NA,Wiśnie,Średnie ogólne,???
2703,12,NA,NA,NA,Śliwki,Wyższe,???
2707,12,NA,NA,NA,Truskawki,Średnie ogólne,Agronom – ekspert
2712,12,NA,NA,NA,Śliwki,Średnie techniczne,Właściciel
2716,12,NA,NA,NA,Jagody,Średnie techniczne,Dyrektor / wicedyrektor
2719,12,NA,NA,NA,NA,Średnie ogólne,Dyrektor / wicedyrektor
2727,12,NA,NA,NA,NA,Średnie techniczne,Agronom – ekspert
2744,12,NA,NA,NA,Borówki,Wyższe,Dyrektor / wicedyrektor
2750,12,NA,NA,NA,Wiśnie,Wyższe,Główny agronom
2769,12,NA,NA,NA,Aronia,Wyższe rolnicze,Właściciel
2773,12,NA,NA,NA,Maliny,Średnie ogólne,Agronom – ekspert
2780,12,NA,NA,NA,Aronia,Wyższe,Dyrektor / wicedyrektor
2790,12,NA,NA,NA,NA,Średnie ogólne,???
2795,12,NA,NA,NA,Borówki,Wyższe rolnicze,Właściciel
2798,12,NA,NA,NA,Śliwki,Średnie techniczne,Właściciel
2801,12,NA,NA,NA,Gruszki,Średnie techniczne,Główny agronom
2804,12,NA,NA,NA,Śliwki,Wyższe rolnicze,Agronom – ekspert
2809,12,NA,NA,NA,Maliny,Wyższe,???
